"id","comment","Character","Actor.Actress","Film","Year","score","detectedLanguages","keyPhrases.1","keyPhrases.2","keyPhrases.3","keyPhrases.4","keyPhrases.5","keyPhrases.6"
 88,"""Listen to me, mister. You're my knight in shining armor. Don't you forget it. You're going to get back on that horse, and I'm going to be right behind you, holding on tight, and away we're gonna go, go, go!""","Ethel Thayer","Katharine Hepburn","On Golden Pond",1981,0.781731815,"English",shining armor,mister,Listen,knight,horse,gonna
 89,"""Tell 'em to go out there with all they got and win just one for the Gipper.""","Knute Rockne","Pat O'Brien","Knute Rockne, All American",1940,0.919848994,"English",Gipper,em,,,,
 90,"""A martini. Shaken, not stirred.""","James Bond","Sean Connery","Goldfinger",1964,0.222226649,"English",martini,,,,,
 91,"""Who's on first?""","Dexter","Bud Abbott","The Naughty Nineties",1945,0.500000000,"English",,,,,,
 92,"""Cinderella story. Outta nowhere. A former greenskeeper, now, about to become the Masters champion. It looks like a mirac...It's in the hole! It's in the hole! It's in the hole!""","Carl Spackler","Bill Murray","Caddyshack",1980,0.500000000,"English",mirac,Masters champion,hole,greenskeeper,Cinderella story,
 93,"""Life is a banquet, and most poor suckers are starving to death!""","Mame Dennis","Rosalind Russell","Auntie Mame",1958,0.000292876,"English",poor suckers,death,banquet,,,
 94,"""I feel the need-the need for speed!""","Lt. Pete ""Maverick"" Mitchell and Lt.jg Nick ""Goose"" Bradshaw","Tom Cruise and Anthony Edwards","Top Gun",1986,0.257929410,"English",speed,need,,,,
 95,"""Carpe diem. Seize the day, boys. Make your lives extraordinary.""","John Keating","Robin Williams","Dead Poets Society",1989,0.500000000,"English",lives extraordinary,day,boys,,,
 96,"""Snap out of it!""","Loretta Castorini","Cher","Moonstruck",1987,0.500000000,"English",Snap,,,,,
 97,"""My mother thanks you. My father thanks you. My sister thanks you. And I thank you.""","George M. Cohan","James Cagney","Yankee Doodle Dandy",1942,0.999955624,"English",sister,mother,father,,,
 98,"""Nobody puts Baby in a corner.""","Johnny Castle","Patrick Swayze","Dirty Dancing",1987,0.153651031,"English",corner,,,,,
 99,"""I'll get you, my pretty, and your little dog too!""","Wicked Witch of the West","Margaret Hamilton","The Wizard of Oz",1939,0.784210784,"English",,,,,,
100,"""I'm the King of the World""","Jack Dawson","Leonardo DiCaprio","Titanic",1997,0.500000000,"English",King,,,,,
